2025-12-15 00:49:58 | INFO     | Query OK | Docs: 6 | Retrieval: 1.213s | LLM: 2.498s | Total: 3.711s | Q: Yazilim mimarisi neden onemlidir?...
2025-12-15 00:49:58 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:49:58 | INFO     | Query OK | Docs: 6 | Retrieval: 1.079s | LLM: 2.834s | Total: 3.913s | Q: Yazilim mimarisi neden onemlidir?...
2025-12-15 00:50:00 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:00 | INFO     | Query OK | Docs: 6 | Retrieval: 1.237s | LLM: 4.816s | Total: 6.053s | Q: Monolitik ve mikroservis mimarisi arasin...
2025-12-15 00:50:02 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:02 | INFO     | Query OK | Docs: 6 | Retrieval: 1.209s | LLM: 6.745s | Total: 7.954s | Q: Mikroservis avantajlari nelerdir?...
2025-12-15 00:50:02 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:02 | INFO     | Query OK | Docs: 6 | Retrieval: 1.218s | LLM: 6.756s | Total: 7.974s | Q: Mikroservis avantajlari nelerdir?...
2025-12-15 00:50:07 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:07 | INFO     | Query OK | Docs: 6 | Retrieval: 1.676s | LLM: 1.119s | Total: 2.795s | Q: Guvenli yazilim gelistirme sureci nasil ...
2025-12-15 00:50:08 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:08 | INFO     | Query OK | Docs: 6 | Retrieval: 1.612s | LLM: 1.426s | Total: 3.037s | Q: Scrum nedir?...
2025-12-15 00:50:08 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:08 | INFO     | Query OK | Docs: 6 | Retrieval: 1.638s | LLM: 1.399s | Total: 3.037s | Q: Scrum nedir?...
2025-12-15 00:50:08 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:08 | INFO     | Query OK | Docs: 6 | Retrieval: 1.594s | LLM: 1.613s | Total: 3.207s | Q: Agile nedir?...
2025-12-15 00:50:08 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:08 | INFO     | Query OK | Docs: 6 | Retrieval: 1.694s | LLM: 1.578s | Total: 3.272s | Q: Agile nedir?...
2025-12-15 00:50:09 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:09 | INFO     | Query OK | Docs: 6 | Retrieval: 1.698s | LLM: 2.208s | Total: 3.906s | Q: Mikroservis avantajlari nelerdir?...
2025-12-15 00:50:09 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:09 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:09 | INFO     | Query OK | Docs: 6 | Retrieval: 1.697s | LLM: 2.735s | Total: 4.432s | Q: Yazilim mimarisi neden onemlidir?...
2025-12-15 00:50:09 | INFO     | Query OK | Docs: 6 | Retrieval: 1.638s | LLM: 2.800s | Total: 4.437s | Q: Yazilim mimarisi neden onemlidir?...
2025-12-15 00:50:11 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:11 | INFO     | Query OK | Docs: 6 | Retrieval: 1.695s | LLM: 4.793s | Total: 6.488s | Q: Monolitik ve mikroservis mimarisi arasin...
2025-12-15 00:50:13 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:13 | INFO     | Query OK | Docs: 6 | Retrieval: 1.675s | LLM: 6.715s | Total: 8.391s | Q: Mikroservis avantajlari nelerdir?...
2025-12-15 00:50:19 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:19 | INFO     | Query OK | Docs: 6 | Retrieval: 1.722s | LLM: 1.190s | Total: 2.912s | Q: Guvenli yazilim gelistirme sureci nasil ...
2025-12-15 00:50:19 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:19 | INFO     | Query OK | Docs: 6 | Retrieval: 1.699s | LLM: 1.453s | Total: 3.152s | Q: Scrum nedir?...
2025-12-15 00:50:19 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:19 | INFO     | Query OK | Docs: 6 | Retrieval: 1.687s | LLM: 1.474s | Total: 3.162s | Q: Scrum nedir?...
2025-12-15 00:50:19 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:19 | INFO     | Query OK | Docs: 6 | Retrieval: 1.673s | LLM: 1.649s | Total: 3.322s | Q: Agile nedir?...
2025-12-15 00:50:19 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:19 | INFO     | Query OK | Docs: 6 | Retrieval: 1.655s | LLM: 2.173s | Total: 3.828s | Q: Agile nedir?...
2025-12-15 00:50:19 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:19 | INFO     | Query OK | Docs: 6 | Retrieval: 1.703s | LLM: 2.136s | Total: 3.840s | Q: Yazilim mimarisi neden onemlidir?...
2025-12-15 00:50:20 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:20 | INFO     | Query OK | Docs: 6 | Retrieval: 1.706s | LLM: 2.222s | Total: 3.928s | Q: Yazilim mimarisi neden onemlidir?...
2025-12-15 00:50:21 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:21 | INFO     | Query OK | Docs: 6 | Retrieval: 1.721s | LLM: 4.032s | Total: 5.752s | Q: Mikroservis avantajlari nelerdir?...
2025-12-15 00:50:22 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:22 | INFO     | Query OK | Docs: 6 | Retrieval: 1.725s | LLM: 4.808s | Total: 6.533s | Q: Monolitik ve mikroservis mimarisi arasin...
2025-12-15 00:50:24 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:24 | INFO     | Query OK | Docs: 6 | Retrieval: 1.680s | LLM: 6.871s | Total: 8.551s | Q: Mikroservis avantajlari nelerdir?...
2025-12-15 00:50:31 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:31 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:31 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:31 | INFO     | Query OK | Docs: 6 | Retrieval: 2.820s | LLM: 1.380s | Total: 4.200s | Q: Guvenli yazilim gelistirme sureci nasil ...
2025-12-15 00:50:31 | INFO     | Query OK | Docs: 6 | Retrieval: 2.856s | LLM: 1.368s | Total: 4.224s | Q: Guvenli yazilim gelistirme sureci nasil ...
2025-12-15 00:50:31 | INFO     | Query OK | Docs: 6 | Retrieval: 2.810s | LLM: 1.357s | Total: 4.166s | Q: Guvenli yazilim gelistirme sureci nasil ...
2025-12-15 00:50:31 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:31 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:31 | INFO     | Query OK | Docs: 6 | Retrieval: 2.802s | LLM: 1.622s | Total: 4.424s | Q: Scrum nedir?...
2025-12-15 00:50:31 | INFO     | Query OK | Docs: 6 | Retrieval: 2.809s | LLM: 1.648s | Total: 4.457s | Q: Scrum nedir?...
2025-12-15 00:50:31 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:31 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:31 | INFO     | Query OK | Docs: 6 | Retrieval: 2.820s | LLM: 1.698s | Total: 4.518s | Q: Scrum nedir?...
2025-12-15 00:50:31 | INFO     | Query OK | Docs: 6 | Retrieval: 8.851s | LLM: -4.339s | Total: 4.512s | Q: Scrum nedir?...
2025-12-15 00:50:31 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:31 | INFO     | Query OK | Docs: 6 | Retrieval: 2.836s | LLM: 1.877s | Total: 4.713s | Q: Agile nedir?...
2025-12-15 00:50:31 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:31 | INFO     | Query OK | Docs: 6 | Retrieval: 3.221s | LLM: 1.576s | Total: 4.797s | Q: Agile nedir?...
